scope,flow_name,criticality,node_count,file_count,primary_file
combat-target,clear_flee_requested_restores_idle,0.5267,3,1,/Users/maleick/Projects/TextQuest/textquest-dll/src/combat/state.rs
combat-target,downtime_rotation_groups_execute_while_idle,0.4068,28,1,/Users/maleick/Projects/TextQuest/textquest-dll/src/combat/state.rs
combat-target,zone_disconnect_auto_disengages,0.4068,28,1,/Users/maleick/Projects/TextQuest/textquest-dll/src/combat/state.rs
combat-target,zone_disconnect_during_casting_auto_disengages,0.4068,28,1,/Users/maleick/Projects/TextQuest/textquest-dll/src/combat/state.rs
combat-target,zone_guard_clears_flee_requested,0.4068,28,1,/Users/maleick/Projects/TextQuest/textquest-dll/src/combat/state.rs
combat-target,executed_rotation_action_does_not_fall_through_to_legacy_spell_selection,0.4059,29,1,/Users/maleick/Projects/TextQuest/textquest-dll/src/combat/state.rs
combat-target,bard_melee_skill_enters_shared_kick_cooldown,0.3979,28,1,/Users/maleick/Projects/TextQuest/textquest-dll/src/combat/state.rs
combat-target,bard_melee_skill_respects_endurance_floor,0.3979,28,1,/Users/maleick/Projects/TextQuest/textquest-dll/src/combat/state.rs
combat-target,idle_with_no_target_stays_idle,0.3979,28,1,/Users/maleick/Projects/TextQuest/textquest-dll/src/combat/state.rs
combat-target,rotation_disc_consumes_monk_shared_timer_family,0.3979,28,1,/Users/maleick/Projects/TextQuest/textquest-dll/src/combat/state.rs
combat-target,rotation_disc_uses_triggering_cooldown_for_shared_family,0.3979,28,1,/Users/maleick/Projects/TextQuest/textquest-dll/src/combat/state.rs
combat-target,rotation_skill_action_uses_default_skill_cooldown,0.3979,28,1,/Users/maleick/Projects/TextQuest/textquest-dll/src/combat/state.rs
combat-target,chat_feedback_resolves_fizzle_cast_outcome,0.3972,29,1,/Users/maleick/Projects/TextQuest/textquest-dll/src/combat/state.rs
combat-target,disc_cooldown_expires_and_disc_refires,0.3972,29,1,/Users/maleick/Projects/TextQuest/textquest-dll/src/combat/state.rs
combat-target,discipline_fires_when_conditions_met,0.3972,29,1,/Users/maleick/Projects/TextQuest/textquest-dll/src/combat/state.rs
combat-target,discipline_respects_cooldown,0.3972,29,1,/Users/maleick/Projects/TextQuest/textquest-dll/src/combat/state.rs
combat-target,engaging_with_target_stays_engaging,0.3972,29,1,/Users/maleick/Projects/TextQuest/textquest-dll/src/combat/state.rs
combat-target,legacy_spell_targeting_does_not_use_far_enemy_for_ally_selected_casts,0.3972,29,1,/Users/maleick/Projects/TextQuest/textquest-dll/src/combat/state.rs
combat-target,only_one_discipline_fires_per_tick,0.3972,29,1,/Users/maleick/Projects/TextQuest/textquest-dll/src/combat/state.rs
combat-target,paladin_heal_cancel_uses_class_threshold_even_as_offtank,0.3972,29,1,/Users/maleick/Projects/TextQuest/textquest-dll/src/combat/state.rs
combat-target,paladin_non_heal_casts_do_not_duck_when_group_is_healthy,0.3972,29,1,/Users/maleick/Projects/TextQuest/textquest-dll/src/combat/state.rs
combat-target,recast_retry_reissue_consumes_gcd_and_preserves_spell_id,0.3972,29,1,/Users/maleick/Projects/TextQuest/textquest-dll/src/combat/state.rs
combat-target,recast_unlimited_retries_when_max_tries_is_none,0.3972,29,1,/Users/maleick/Projects/TextQuest/textquest-dll/src/combat/state.rs
combat-target,rotation_disc_consumes_shared_cooldown_metadata,0.3972,29,1,/Users/maleick/Projects/TextQuest/textquest-dll/src/combat/state.rs
combat-target,rotation_disc_uses_entry_cooldown_metadata,0.3972,29,1,/Users/maleick/Projects/TextQuest/textquest-dll/src/combat/state.rs
combat-target,shared_cd_uses_targeting,0.3972,29,1,/Users/maleick/Projects/TextQuest/textquest-dll/src/combat/ability_cooldowns.rs
combat-target,shared_cd_uses_targeting,0.3972,3,1,/Users/maleick/Projects/TextQuest/textquest-dll/src/combat/ability_cooldowns.rs
