P -4500.0, -3780.0, 400.0, 255, 255, 0, 3, Great_Span
P -1785.0, 6660.0, 200.0, 255, 0, 0, 3, To_Great_Divide
P -6300.0, 4600.0, 300.0, 255, 0, 0, 3, To_Kael_Drakkal
P -300.0, -100.0, 0.0, 255, 0, 0, 3, To_Crystal_Caverns
P 5500.0, -6000.0, 0.0, 255, 0, 0, 3, To_Iceclad_Ocean
P -7000.0, 6000.0, 300.0, 255, 0, 0, 3, To_Sleepers_Tomb
P -3000.0, -2000.0, 380.0, 255, 255, 0, 3, RyGorr_Keep
P -2000.0, 1000.0, 250.0, 255, 255, 0, 3, Coldain_Camps
P -5000.0, 2000.0, 350.0, 255, 255, 0, 3, Frost_Giant_Fort
P -4000.0, 500.0, 300.0, 255, 255, 0, 3, Dragon_Ring
P 3000.0, -4000.0, 100.0, 255, 255, 0, 3, Orc_Camp
L -7500.0, -7000.0, 500.0, -7500.0, -5000.0, 500.0, 128, 128, 128
L -7500.0, -5000.0, 500.0, -7500.0, -2000.0, 450.0, 128, 128, 128
L -7500.0, -2000.0, 450.0, -7500.0, 1000.0, 400.0, 128, 128, 128
L -7500.0, 1000.0, 400.0, -7500.0, 4000.0, 350.0, 128, 128, 128
L -7500.0, 4000.0, 350.0, -7500.0, 7500.0, 300.0, 128, 128, 128
L -7500.0, 7500.0, 300.0, -5000.0, 7500.0, 250.0, 128, 128, 128
L -5000.0, 7500.0, 250.0, -2000.0, 7500.0, 200.0, 128, 128, 128
L -2000.0, 7500.0, 200.0, 1000.0, 7500.0, 150.0, 128, 128, 128
L 1000.0, 7500.0, 150.0, 4000.0, 7500.0, 100.0, 128, 128, 128
L 4000.0, 7500.0, 100.0, 6500.0, 7500.0, 50.0, 128, 128, 128
L 6500.0, 7500.0, 50.0, 6500.0, 5000.0, 50.0, 128, 128, 128
L 6500.0, 5000.0, 50.0, 6500.0, 2000.0, 50.0, 128, 128, 128
L 6500.0, 2000.0, 50.0, 6500.0, -1000.0, 50.0, 128, 128, 128
L 6500.0, -1000.0, 50.0, 6500.0, -4000.0, 50.0, 128, 128, 128
L 6500.0, -4000.0, 50.0, 6500.0, -7000.0, 50.0, 128, 128, 128
L 6500.0, -7000.0, 50.0, 4000.0, -7000.0, 100.0, 128, 128, 128
L 4000.0, -7000.0, 100.0, 1000.0, -7000.0, 200.0, 128, 128, 128
L 1000.0, -7000.0, 200.0, -2000.0, -7000.0, 300.0, 128, 128, 128
L -2000.0, -7000.0, 300.0, -5000.0, -7000.0, 400.0, 128, 128, 128
L -5000.0, -7000.0, 400.0, -7500.0, -7000.0, 500.0, 128, 128, 128
L -5300.0, -4200.0, 420.0, -5000.0, -4500.0, 420.0, 128, 128, 128
L -5000.0, -4500.0, 420.0, -4700.0, -4200.0, 420.0, 128, 128, 128
L -4700.0, -4200.0, 420.0, -4300.0, -3900.0, 410.0, 128, 128, 128
L -4300.0, -3900.0, 410.0, -4100.0, -3600.0, 400.0, 128, 128, 128
L -4100.0, -3600.0, 400.0, -4400.0, -3400.0, 400.0, 128, 128, 128
L -4400.0, -3400.0, 400.0, -4700.0, -3600.0, 410.0, 128, 128, 128
L -4700.0, -3600.0, 410.0, -5000.0, -3900.0, 420.0, 128, 128, 128
L -5000.0, -3900.0, 420.0, -5300.0, -4200.0, 420.0, 128, 128, 128
L -4500.0, -4000.0, 400.0, -4500.0, -3580.0, 400.0, 178, 102, 255
L -4500.0, -3580.0, 400.0, -4300.0, -3580.0, 400.0, 178, 102, 255
L -4300.0, -3580.0, 400.0, -4300.0, -3980.0, 400.0, 178, 102, 255
L -4300.0, -3980.0, 400.0, -4700.0, -3980.0, 400.0, 178, 102, 255
L -4700.0, -3980.0, 400.0, -4700.0, -3580.0, 400.0, 178, 102, 255
L -4700.0, -3580.0, 400.0, -4500.0, -3580.0, 400.0, 178, 102, 255
L -3200.0, -2300.0, 380.0, -2800.0, -2300.0, 380.0, 178, 102, 255
L -2800.0, -2300.0, 380.0, -2800.0, -1700.0, 380.0, 178, 102, 255
L -2800.0, -1700.0, 380.0, -3200.0, -1700.0, 380.0, 178, 102, 255
L -3200.0, -1700.0, 380.0, -3200.0, -2300.0, 380.0, 178, 102, 255
L -3000.0, -2300.0, 380.0, -3000.0, -2500.0, 380.0, 178, 102, 255
L -3100.0, -1700.0, 380.0, -3100.0, -1500.0, 380.0, 178, 102, 255
L -2900.0, -1700.0, 380.0, -2900.0, -1500.0, 380.0, 178, 102, 255
L -3200.0, -2000.0, 380.0, -3400.0, -2000.0, 380.0, 178, 102, 255
L -2800.0, -2000.0, 380.0, -2600.0, -2000.0, 380.0, 178, 102, 255
L -2200.0, 800.0, 250.0, -1800.0, 800.0, 250.0, 178, 102, 255
L -1800.0, 800.0, 250.0, -1800.0, 1200.0, 250.0, 178, 102, 255
L -1800.0, 1200.0, 250.0, -2200.0, 1200.0, 250.0, 178, 102, 255
