P -1850.0, 6660.0, -200.0, 255, 0, 0, 3, To_Eastern_Wastes
P -100.0, -100.0, -300.0, 255, 0, 0, 3, To_Thurgadin
P -1910.0, -2710.0, -300.0, 255, 255, 0, 3, Wizard_Spires
P -3860.0, 3200.0, -200.0, 255, 255, 0, 3, Druid_Ring
P -6770.0, 3130.0, -100.0, 255, 0, 0, 3, To_Velketors_Lab
P -4500.0, -1000.0, -250.0, 255, 255, 0, 3, Frost_Giant_Outpost
P -5500.0, 1500.0, -150.0, 255, 255, 0, 3, Tizmak_Caverns
P -1000.0, 500.0, -280.0, 255, 255, 0, 3, Coldain_Camp
P -3000.0, -500.0, -260.0, 255, 255, 0, 3, Rift_Bridge
P 500.0, 3000.0, -220.0, 255, 255, 0, 3, Snow_Griffon_Area
P -2500.0, 5000.0, -200.0, 255, 255, 0, 3, Tundra_Yeti_Camp
L -7500.0, -5500.0, 0.0, -7500.0, -3000.0, -50.0, 128, 128, 128
L -7500.0, -3000.0, -50.0, -7500.0, 0.0, -100.0, 128, 128, 128
L -7500.0, 0.0, -100.0, -7500.0, 3000.0, -100.0, 128, 128, 128
L -7500.0, 3000.0, -100.0, -7500.0, 6000.0, -100.0, 128, 128, 128
L -7500.0, 6000.0, -100.0, -7500.0, 7500.0, -100.0, 128, 128, 128
L -7500.0, 7500.0, -100.0, -5000.0, 7500.0, -150.0, 128, 128, 128
L -5000.0, 7500.0, -150.0, -2000.0, 7500.0, -200.0, 128, 128, 128
L -2000.0, 7500.0, -200.0, 0.0, 7500.0, -200.0, 128, 128, 128
L 0.0, 7500.0, -200.0, 1500.0, 7500.0, -200.0, 128, 128, 128
L 1500.0, 7500.0, -200.0, 1500.0, 5000.0, -200.0, 128, 128, 128
L 1500.0, 5000.0, -200.0, 1500.0, 2000.0, -250.0, 128, 128, 128
L 1500.0, 2000.0, -250.0, 1500.0, -1000.0, -300.0, 128, 128, 128
L 1500.0, -1000.0, -300.0, 1500.0, -3000.0, -350.0, 128, 128, 128
L 1500.0, -3000.0, -350.0, 1500.0, -5500.0, -400.0, 128, 128, 128
L 1500.0, -5500.0, -400.0, 0.0, -5500.0, -400.0, 128, 128, 128
L 0.0, -5500.0, -400.0, -2000.0, -5500.0, -350.0, 128, 128, 128
L -2000.0, -5500.0, -350.0, -4000.0, -5500.0, -300.0, 128, 128, 128
L -4000.0, -5500.0, -300.0, -6000.0, -5500.0, -200.0, 128, 128, 128
L -6000.0, -5500.0, -200.0, -7500.0, -5500.0, 0.0, 128, 128, 128
L -4000.0, -4000.0, -300.0, -3000.0, -3500.0, -280.0, 128, 128, 128
L -3000.0, -3500.0, -280.0, -2000.0, -3000.0, -270.0, 128, 128, 128
L -2000.0, -3000.0, -270.0, -1500.0, -2800.0, -280.0, 128, 128, 128
L -1500.0, -2800.0, -280.0, -1500.0, -2500.0, -290.0, 128, 128, 128
L -1500.0, -2500.0, -290.0, -2000.0, -2200.0, -300.0, 128, 128, 128
L -2000.0, -2200.0, -300.0, -2500.0, -2000.0, -300.0, 128, 128, 128
L -2500.0, -2000.0, -300.0, -3500.0, -2000.0, -280.0, 128, 128, 128
L -3500.0, -2000.0, -280.0, -4500.0, -2500.0, -270.0, 128, 128, 128
L -4500.0, -2500.0, -270.0, -5000.0, -3000.0, -260.0, 128, 128, 128
L -5000.0, -3000.0, -260.0, -5000.0, -4000.0, -280.0, 128, 128, 128
L -5000.0, -4000.0, -280.0, -4000.0, -4000.0, -300.0, 128, 128, 128
L -2100.0, -2900.0, -300.0, -1900.0, -2900.0, -300.0, 178, 102, 255
L -1900.0, -2900.0, -300.0, -1900.0, -2500.0, -300.0, 178, 102, 255
L -1900.0, -2500.0, -300.0, -2100.0, -2500.0, -300.0, 178, 102, 255
L -2100.0, -2500.0, -300.0, -2100.0, -2900.0, -300.0, 178, 102, 255
L -2000.0, -2900.0, -300.0, -2000.0, -3100.0, -300.0, 178, 102, 255
L -1910.0, -2510.0, -300.0, -1700.0, -2400.0, -300.0, 178, 102, 255
L -2100.0, -2510.0, -300.0, -2300.0, -2400.0, -300.0, 178, 102, 255
L -300.0, -300.0, -300.0, 100.0, -300.0, -300.0, 178, 102, 255
L 100.0, -300.0, -300.0, 100.0, 100.0, -300.0, 178, 102, 255
L 100.0, 100.0, -300.0, -300.0, 100.0, -300.0, 178, 102, 255
L -300.0, 100.0, -300.0, -300.0, -300.0, -300.0, 178, 102, 255
L -100.0, -300.0, -300.0, -100.0, -500.0, -300.0, 178, 102, 255
L -100.0, 100.0, -300.0, -100.0, 300.0, -300.0, 178, 102, 255
L -300.0, -100.0, -300.0, -500.0, -100.0, -300.0, 178, 102, 255
L 100.0, -100.0, -300.0, 300.0, -100.0, -300.0, 178, 102, 255
L -4700.0, -1200.0, -250.0, -4300.0, -1200.0, -250.0, 178, 102, 255
L -4300.0, -1200.0, -250.0, -4300.0, -800.0, -250.0, 178, 102, 255
